,Video_name,frame_name,face_name,Anger,Disgust,Fear,Happy,Sad,Surprise,Neutral,Dominant,Coefficient,Coefficient/s
292,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0109.jpg,mark_zuckerbergs_testimony_before_congress-0109-1.jpg,0.073135562,0.000440229,0.302721202,0.010793078,0.370602608,0.016966522,0.225340754,Sad,1,1
293,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0109.jpg,mark_zuckerbergs_testimony_before_congress-0109-2.jpg,0.04711872,0.000148285,0.304008424,0.002939551,0.328125536,0.012071104,0.305588484,Sad,1,1
294,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0109.jpg,mark_zuckerbergs_testimony_before_congress-0109-3.jpg,0.124956757,0.003382657,0.200253367,0.058655012,0.494192123,0.020474786,0.098085202,Sad,1,1.333333333
295,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0261.jpg,mark_zuckerbergs_testimony_before_congress-0261-1.jpg,0.155249491,0.011955702,0.18120487,0.287116349,0.026399801,0.282344133,0.055729661,Happy,0,1.333333333
296,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0053.jpg,mark_zuckerbergs_testimony_before_congress-0053-1.jpg,0.146335125,0.007087461,0.309867829,0.143632919,0.091895029,0.079998635,0.221183091,Fear,3,1.333333333
297,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0053.jpg,mark_zuckerbergs_testimony_before_congress-0053-2.jpg,0.136328205,0.001475906,0.194050968,0.008653346,0.382430345,0.013063408,0.263997853,Sad,1,1.666666667
298,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0053.jpg,mark_zuckerbergs_testimony_before_congress-0053-3.jpg,0.258671075,0.003319286,0.167331621,0.003460294,0.355464071,0.038779598,0.17297405,Sad,1,1.666666667
299,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0046.jpg,mark_zuckerbergs_testimony_before_congress-0046-1.jpg,0.163280457,0.004341744,0.246999472,0.004407489,0.172771215,0.169826701,0.238372937,Fear,3,1.666666667
300,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0046.jpg,mark_zuckerbergs_testimony_before_congress-0046-2.jpg,0.081450947,0.001868077,0.22867842,0.043071423,0.362931311,0.011792975,0.270206839,Sad,1,0.666666667
301,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0046.jpg,mark_zuckerbergs_testimony_before_congress-0046-3.jpg,0.099991769,0.002770188,0.196502283,0.003418862,0.394105941,0.042461473,0.260749459,Sad,1,0.666666667
302,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0048.jpg,mark_zuckerbergs_testimony_before_congress-0048-1.jpg,0.153606579,0.002024148,0.231104285,0.003105841,0.173285514,0.127858177,0.309015453,Neutral,0,0.666666667
303,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0048.jpg,mark_zuckerbergs_testimony_before_congress-0048-2.jpg,0.119451843,0.00204778,0.167552441,0.003382052,0.60560745,0.001037709,0.1009207,Sad,1,1
304,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0048.jpg,mark_zuckerbergs_testimony_before_congress-0048-3.jpg,0.151704937,0.003136548,0.269192129,0.001519782,0.377318591,0.058411423,0.138716623,Sad,1,1
305,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0170.jpg,mark_zuckerbergs_testimony_before_congress-0170-1.jpg,0.10654255,0.001867311,0.332071483,0.002903282,0.457463592,0.007161898,0.091989905,Sad,1,1
306,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0173.jpg,mark_zuckerbergs_testimony_before_congress-0173-1.jpg,0.094713323,0.001644153,0.137873769,0.170967877,0.196446985,0.145450443,0.252903432,Neutral,0,0.333333333
307,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0051.jpg,mark_zuckerbergs_testimony_before_congress-0051-1.jpg,0.067911103,0.000933927,0.279445946,0.330343366,0.04940407,0.123382218,0.14857921,Happy,0,0.333333333
308,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0051.jpg,mark_zuckerbergs_testimony_before_congress-0051-2.jpg,0.204740554,0.000682697,0.142831936,0.009421159,0.377512336,0.001922044,0.262889296,Sad,1,0.333333333
309,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0051.jpg,mark_zuckerbergs_testimony_before_congress-0051-3.jpg,0.141694069,0.002368929,0.208869591,0.002815011,0.36669749,0.076565899,0.200988919,Sad,1,0.666666667
310,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0073.jpg,mark_zuckerbergs_testimony_before_congress-0073-1.jpg,0.108001702,0.001405026,0.288032502,0.02349061,0.39624694,0.023297904,0.15952535,Sad,1,0.666666667
