,Video_name,frame_name,face_name,Anger,Disgust,Fear,Happy,Sad,Surprise,Neutral,Dominant,Coefficient,Coefficient/s,Transcript Coefficient,Total Coefficient,T/L
0,presidential_debate,presidential_debate-0085.jpg,presidential_debate-0085-1.jpg,0.050396606,0.001336531,0.247748852,0.003535504,0.245974764,0.017801587,0.433206171,Neutral,0,2.666666667,3,2.916666667,Lie
1,presidential_debate,presidential_debate-0085.jpg,presidential_debate-0085-2.jpg,0.179904193,0.072323896,0.30734688,0.006708137,0.302063167,0.019962195,0.111691639,Fear,6,2.666666667,3,2.916666667,Lie
2,presidential_debate,presidential_debate-0020.jpg,presidential_debate-0020-1.jpg,0.280430883,0.024902847,0.205660909,0.001175239,0.457556039,0.004415246,0.025858864,Sad,2,2.666666667,3,2.916666667,Lie
3,presidential_debate,presidential_debate-0020.jpg,presidential_debate-0020-2.jpg,0.028914426,0.000134642,0.106821656,0.04254517,0.334961772,0.002337609,0.484284759,Neutral,0,0.666666667,3,2.416666667,Lie
4,presidential_debate,presidential_debate-0014.jpg,presidential_debate-0014-1.jpg,0.221565902,0.012497564,0.299519181,0.001159985,0.420449615,0.008638637,0.036169041,Sad,2,0.666666667,3,2.416666667,Lie
5,presidential_debate,presidential_debate-0014.jpg,presidential_debate-0014-2.jpg,0.023521524,0.000228669,0.089700133,0.056244355,0.232192755,0.008556047,0.589556515,Neutral,0,0.666666667,3,2.416666667,Lie
6,presidential_debate,presidential_debate-0024.jpg,presidential_debate-0024-1.jpg,0.240356371,0.056118533,0.174499854,0.003265366,0.504535317,0.003421759,0.017802715,Sad,2,2.666666667,3,2.916666667,Lie
7,presidential_debate,presidential_debate-0024.jpg,presidential_debate-0024-2.jpg,0.047806419,0.000282935,0.164153755,0.007504798,0.288709939,0.004191267,0.487350941,Neutral,0,2.666666667,3,2.916666667,Lie
8,presidential_debate,presidential_debate-0049.jpg,presidential_debate-0049-1.jpg,0.125177428,0.003287487,0.346905679,0.021975553,0.176340654,0.030064065,0.296249092,Fear,6,2.666666667,3,2.916666667,Lie
9,presidential_debate,presidential_debate-0025.jpg,presidential_debate-0025-1.jpg,0.018729853,0.000284269,0.158417642,0.039087269,0.375272125,0.00230281,0.405905932,Neutral,0,2.333333333,3,2.833333333,Lie
10,presidential_debate,presidential_debate-0025.jpg,presidential_debate-0025-2.jpg,0.161467835,0.012885203,0.186878696,0.00194572,0.618494749,0.003610622,0.014717138,Sad,2,2.333333333,3,2.833333333,Lie
11,presidential_debate,presidential_debate-0089.jpg,presidential_debate-0089-1.jpg,0.307173878,0.002861778,0.201886684,0.005999985,0.226775125,0.003095801,0.252206743,Anger,5,2.333333333,3,2.833333333,Lie
12,presidential_debate,presidential_debate-0018.jpg,presidential_debate-0018-1.jpg,0.023377443,0.000226622,0.161678553,0.016831014,0.367651194,0.002220858,0.428014308,Neutral,0,1.333333333,3,2.583333333,Lie
13,presidential_debate,presidential_debate-0018.jpg,presidential_debate-0018-2.jpg,0.158047318,0.017730279,0.234428078,0.001779321,0.570364714,0.004184807,0.013465358,Sad,2,1.333333333,3,2.583333333,Lie
14,presidential_debate,presidential_debate-0022.jpg,presidential_debate-0022-1.jpg,0.238793135,0.019651756,0.281510383,0.000408874,0.431135327,0.005215492,0.023284959,Sad,2,1.333333333,3,2.583333333,Lie
15,presidential_debate,presidential_debate-0022.jpg,presidential_debate-0022-2.jpg,0.037823234,0.000157676,0.094699681,0.011586705,0.207078427,0.0043496,0.644304752,Neutral,0,0.666666667,3,2.416666667,Lie
16,presidential_debate,presidential_debate-0075.jpg,presidential_debate-0075-1.jpg,0.030782456,0.000149078,0.186455861,0.011813508,0.147550583,0.021287747,0.601960719,Neutral,0,0.666666667,0,0.166666667,Truth
17,presidential_debate,presidential_debate-0075.jpg,presidential_debate-0075-2.jpg,0.196059793,0.010319066,0.245272219,0.000954241,0.465959787,0.005306303,0.076128483,Sad,2,0.666666667,0,0.166666667,Truth
18,presidential_debate,presidential_debate-0081.jpg,presidential_debate-0081-1.jpg,0.072264649,0.000968077,0.315835953,0.005727152,0.286153316,0.012789197,0.306261629,Fear,6,3.666666667,0,0.916666667,Truth
19,presidential_debate,presidential_debate-0081.jpg,presidential_debate-0081-2.jpg,0.502882779,0.042364039,0.223223642,0.000623467,0.166545898,0.013110019,0.051250201,Anger,5,3.666666667,0,0.916666667,Truth
20,presidential_debate,presidential_debate-0084.jpg,presidential_debate-0084-1.jpg,0.052613061,0.0007166,0.256467134,0.011157193,0.23990199,0.025085116,0.414058805,Neutral,0,3.666666667,0,0.916666667,Truth
21,presidential_debate,presidential_debate-0087.jpg,presidential_debate-0087-1.jpg,0.29484567,0.003128549,0.218151867,0.005870814,0.229230389,0.003227207,0.245545566,Anger,5,2.333333333,0,0.583333333,Truth
22,presidential_debate,presidential_debate-0013.jpg,presidential_debate-0013-1.jpg,0.125826791,0.004618673,0.306788623,0.001207987,0.458994299,0.014230708,0.088333033,Sad,2,2.333333333,0,0.583333333,Truth
